Rank,Player Name,Team,Pos,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1,Eric Dixon,VILL,F,29,34.7,23.6,7.9,16.8,46.7,3,7,43.1,4.9,5.8,83.4,5.5,2.2,0.8,0.3,2.2
2,Trent McLaughlin,NAU,G,30,36.5,22.2,7.5,17.8,42.1,3,8.6,34.7,4.2,5.6,74.4,3.6,3.4,1.8,0.3,1.7
3,Jamal Mashburn Jr.,TEM,G,23,36,22,7.3,16.9,42.9,2,4.7,43.1,5.4,6.8,79,3,2.2,0.7,0,1.8
4,Jaron Pierre Jr.,JVST,G,30,37.2,21.8,7.4,17.4,42.8,2.9,7.3,39.5,4,4.9,81.6,5.4,3.8,0.6,0.3,2.8
5,TY Johnson,UCD,G,29,33.5,21.6,7.3,18.8,39.2,1.2,4.4,27.6,5.7,7.5,76.1,4.3,2.8,2.3,0.2,3.9
6,PJ Haggerty,MEM,G,29,36.4,21.4,7.1,14.4,49.5,1.2,3,40.9,5.9,7.4,79.1,5.4,3.8,1.9,0.1,3.2
7,Markus Burton,ND,G,22,32.7,21.1,7.5,16.7,45.1,1.9,5,37.3,4.2,4.8,86.8,3.4,3.1,1.5,0.1,2.6
8,Taje' Kelly,CHSO,F,30,36.5,20.8,7.7,15.2,50.4,0.6,1.9,31.6,4.9,7.9,61.8,8.9,2.1,0.8,0.4,3.2
9,Terrence Brown,FDU,G,30,34.4,20.6,7.3,16.3,45.1,1.2,3.9,30.8,4.8,6.3,75.3,5.6,3.1,2.1,0.4,3.2
10,Jacksen Moni,NDSU,F,27,30.5,20.6,7,13.9,50.8,2.4,5.8,40.8,4.2,5,83.7,5.6,3.7,0.5,0.4,2.4
11,Tre Johnson,TEX,G,27,33.9,20.6,7.1,16,44.6,2.6,6.7,39,3.6,4.1,88.3,3.1,2.6,0.9,0.3,1.8
12,Jacob Ognacevic,LIP,F,31,33.1,20.3,7,12,58.2,1.5,3.5,41.3,4.8,6.1,78.8,8,1.5,0.3,0.4,1.8
13,Abdi Bashir Jr.,MONM,G,31,33.1,20.3,6.7,17.7,38,3.9,9.9,39.3,2.9,3.3,87.3,2.6,2.1,0.5,0.1,2.8
14,Maxime Raynaud,STAN,F,29,33.6,20.2,7.5,15.9,47.2,1.9,5.4,34.4,3.3,4.2,78,10.9,1.7,1,1.2,2.2
15,Barrington Hargress,UCR,G,30,31.9,20.1,7.4,17,43.5,2.2,6.7,32.7,3.1,4.3,73.4,2.3,3.9,1.1,0,2
16,Adam Clark,MRMK,G,30,36.7,20.1,7.9,17.5,45,0.6,2.1,29,3.8,4.9,77.6,4.4,5.7,2.8,0.1,3.2
17,Dominique Daniels Jr.,CBU,G,25,35,20,6.9,18,38.1,1.7,6.3,27.4,4.6,5.6,80.9,2.6,3.2,1.2,0,2.1
18,Primo Spears,UTSA,G,27,36.3,20,6.6,16.6,40,2.2,5.9,37.3,4.6,5.3,86.1,1.8,3.8,1.7,0.1,2.7
19,Paul McMillan IV,CAN,G,29,36.1,20,7.1,16,44.6,1.2,3.7,32.7,4.5,5.8,77.8,3.5,2.8,0.8,0,2.2
20,Donovan Dent,UNM,G,29,34.7,20,7.1,14.5,49,0.7,1.9,36.4,5.1,6.4,79,2.4,6.5,1.5,0.9,2.8
21,Nick Martinelli,NU,F,29,37.4,19.9,7.5,16,46.9,1.1,2.9,36.9,3.8,5.3,72.5,6.1,1.7,0.8,0.2,2
22,Aniwaniwa Tait-Jones,UCSD,G,30,29.5,19.8,6.4,10.9,58.9,0.5,1.4,34.9,6.5,8.4,77.1,5.3,3.4,1.3,0.4,2
23,Blaise Threatt,WEB,G,29,34.9,19.8,7.6,14.5,52,0.7,2.1,31.1,4,5.7,70.5,5.7,4.5,1.9,0,1.9
24,Lamar Wilkerson,SHSU,G,29,34.7,19.7,6.9,14.6,47.2,3.3,7.5,44,2.7,3.3,82.1,4,1.9,1,0.2,2
25,Brice Williams,NEB,G,29,33.1,19.7,6.3,13.5,46.8,1.7,4.9,35,5.3,5.9,90.1,4,2.8,1.2,0.3,2.3
26,Blake Harper,HOW,G,29,34.7,19.7,5.7,12.7,45,1.3,3.2,40.2,7,8.6,81.5,6.4,3.6,1,0,2.6
27,Trey Kaufman-Renn,PUR,F,29,30.3,19.6,7.9,12.9,61,0.1,0.2,42.9,3.7,5.7,65.1,6,2.3,0.8,0.3,2.3
28,Quimari Peterson,ETSU,G,31,34.4,19.5,7.1,15,47.2,2.7,6.3,43.1,2.6,3.5,75,4.5,3.7,2,0.2,2.2
29,Dylan Darling,IDST,PG,26,34.1,19.4,5.8,13.3,43.6,1.8,5,36.6,5.9,7.3,81.5,3.4,5.8,1.8,0.4,2.4
30,Dylan Harper,RUTG,G,26,32.2,19.3,6.6,13.5,48.9,1.7,5.1,34.1,4.3,5.8,74.3,4.5,4,1.4,0.5,2.3
31,Dawson Garcia,MINN,F,29,35.3,19.3,6.5,13.6,48,1.6,4.3,36,4.7,6.1,77.3,7.5,2,0.8,0.9,1.6
32,Cooper Flagg,DUKE,G,29,30.9,19.3,6.5,13.2,49.2,1.3,3.6,37.5,5,6,82.8,7.6,4.1,1.6,1.1,2.2
33,Jalen Jackson,PFW,G,30,31.5,19.2,6.7,13.8,48.9,1,3.5,27.6,4.8,6.4,75.4,4.2,3.2,1.6,0.4,2.2
34,Brandon Noel,WRST,F,31,33.9,19.2,7.2,13.2,54.9,1.2,3.2,36.4,3.6,4.8,75,8,1.7,1,0.9,2.2
35,John Tonje,WIS,G,29,31,19.2,5.5,11.7,47.1,2.2,5.9,37.6,5.9,6.5,91.5,4.9,1.7,0.8,0.2,2.1
36,Jordan Marsh,UNCA,G,30,28.9,19.2,7.1,15.6,45.5,1.5,4.8,31.3,3.5,4.3,80,4.3,3.6,2,0.3,2.3
37,Ray'Sean Taylor,SIUE,G,31,32.3,19.2,6,14.4,41.4,2.8,8.1,34.5,4.4,5.2,84.6,4.5,3.8,2,0.1,2.4
38,Mark Sears,ALA,G,29,32.4,19.1,5.4,13.1,41.2,2.6,7.1,36.1,5.8,6.9,84.5,3,5,1,0.1,2.8
39,Malik Thomas,SF,G,30,31,19.1,6,13.1,45.7,2,5.1,39.2,5.2,6.2,83.4,3.4,2,1.7,0.1,1.9
40,Ryan Kalkbrenner,CREI,C,28,33.5,19.1,7.5,11.4,65.6,0.6,1.6,37.8,3.5,5,68.8,8.8,1.5,0.6,2.7,1.4
41,Reed Bailey,DAV,F,29,32.8,19.1,6.5,13.2,49.2,0.5,1.1,42.4,5.6,7.2,77,6.2,3.8,0.8,0.7,2.7
42,Issac McBride,ORU,G,29,35.1,19,5.8,13.1,43.9,2.6,6.5,39.2,4.9,5.8,84.5,2.7,2.5,1,0,2.2
43,Bennett Stirtz,DRKE,G,30,39.3,18.9,6.6,13.2,49.7,1.7,4.5,38.1,4.1,5.2,79.4,4.4,5.9,2.2,0.2,2
44,John Poulakidas,YALE,G,23,31.3,18.9,6.4,14.6,44.2,3,7.6,40,3,3.3,89.6,3.4,1.3,0.6,0.1,0.8
