Rank,Player Name,Team,Pos,GP,MIN,Position Group,PTS,PTS_Grade,FG%,FG%_Grade,FT%,FT%_Grade,3P%,3P%_Grade,REB,REB_Grade,AST,AST_Grade,STL,STL_Grade,BLK,BLK_Grade,OVR_Grade
1,Eric Dixon,Villanova,F,29,34.7,F,23.6,99,46.7,76,83.4,92,43.1,90,5.5,85,2.2,96,0.8,85,0.3,74,87
2,Trent McLaughlin,Northern Arizona,G,30,36.5,G,22.2,99,42.1,80,74.4,79,34.7,82,3.6,84,3.4,91,1.8,99,0.3,84,87
3,Jamal Mashburn Jr.,Temple,G,23,36.0,G,22.0,99,42.9,81,79.0,83,43.1,92,3.0,80,2.2,82,0.7,76,0.0,71,83
4,Jaron Pierre Jr.,Jacksonville State,G,30,37.2,G,21.8,99,42.8,81,81.6,86,39.5,88,5.4,96,3.8,94,0.6,74,0.3,84,87
5,TY Johnson,UC Davis,G,29,33.5,G,21.6,99,39.2,75,76.1,81,27.6,73,4.3,89,2.8,86,2.3,99,0.2,80,85
6,PJ Haggerty,Memphis,G,29,36.4,G,21.4,99,49.5,92,79.1,83,40.9,89,5.4,96,3.8,94,1.9,99,0.1,75,90
7,Markus Burton,Notre Dame,G,22,32.7,G,21.1,99,45.1,85,86.8,90,37.3,85,3.4,83,3.1,88,1.5,92,0.1,75,87
8,Taje' Kelly,Charleston Southern,F,30,36.5,F,20.8,99,50.4,80,61.8,77,31.6,84,8.9,99,2.1,94,0.8,85,0.4,76,86
9,Terrence Brown,Fairleigh Dickinson,G,30,34.4,G,20.6,99,45.1,85,75.3,80,30.8,77,5.6,98,3.1,88,2.1,99,0.4,89,89
10,Jacksen Moni,North Dakota State,F,27,30.5,F,20.6,99,50.8,81,83.7,93,40.8,89,5.6,86,3.7,99,0.5,77,0.4,76,87
11,Tre Johnson,Texas,G,27,33.9,G,20.6,99,44.6,84,88.3,91,39.0,87,3.1,81,2.6,85,0.9,80,0.3,84,86
12,Jacob Ognacevic,Lipscomb,F,31,33.1,F,20.3,99,58.2,89,78.8,89,41.3,89,8.0,97,1.5,86,0.3,72,0.4,76,87
13,Abdi Bashir Jr.,Monmouth,G,31,33.1,G,20.3,99,38.0,73,87.3,90,39.3,87,2.6,77,2.1,81,0.5,71,0.1,75,81
14,Maxime Raynaud,Stanford,F,29,33.6,F,20.2,99,47.2,77,78.0,88,34.4,85,10.9,99,1.7,89,1.0,91,1.2,93,90
15,Barrington Hargress,UC Riverside,G,30,31.9,G,20.1,99,43.5,82,73.4,79,32.7,79,2.3,75,3.9,94,1.1,84,0.0,71,82
16,Adam Clark,Merrimack,G,30,36.7,G,20.1,99,45.0,85,77.6,82,29.0,75,4.4,90,5.7,99,2.8,99,0.1,75,88
17,Dominique Daniels Jr.,California Baptist,G,25,35.0,G,20.0,99,38.1,74,80.9,85,27.4,73,2.6,77,3.2,89,1.2,86,0.0,71,81
18,Primo Spears,UTSA,G,27,36.3,G,20.0,99,40.0,77,86.1,89,37.3,85,1.8,72,3.8,94,1.7,97,0.1,75,86
19,Paul McMillan IV,Canisius,G,29,36.1,G,20.0,99,44.6,84,77.8,82,32.7,79,3.5,83,2.8,86,0.8,78,0.0,71,82
20,Donovan Dent,New Mexico,G,29,34.7,G,20.0,99,49.0,91,79.0,83,36.4,84,2.4,76,6.5,99,1.5,92,0.9,99,90
21,Nick Martinelli,Northwestern,F,29,37.4,F,19.9,99,46.9,76,72.5,85,36.9,87,6.1,88,1.7,89,0.8,85,0.2,71,85
