#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Eric Dixon,VILL,27,34.5,22.9,7.6,16.7,.456,3.0,7.0,.423,4.8,5.7,.838,1.6,3.6,5.3,2.2,0.8,0.3,2.1,2.0
2,"Jaron Pierre, Jr.",JKSNV,28,36.8,22.1,7.5,17.3,.436,3.0,7.2,.411,4.0,5.0,.813,0.6,4.7,5.3,3.9,0.6,0.4,2.8,1.5
3,"Jamal Mashburn, Jr.",TEM,23,35.9,22.0,7.3,16.9,.429,2.0,4.7,.431,5.4,6.8,.790,0.6,2.4,3.0,2.2,0.7,0.0,1.8,1.3
4,Trenton McLaughlin,NAU,29,36.2,21.6,7.3,17.6,.413,2.9,8.6,.339,4.2,5.6,.752,0.4,3.2,3.6,3.4,1.8,0.2,1.7,1.7
5,Ty Johnson,UCD,28,33.6,21.5,7.3,18.5,.392,1.2,4.3,.273,5.8,7.6,.764,0.9,3.4,4.3,2.8,2.3,0.2,3.9,2.4
6,P.J. Haggerty,MEMP,27,36.4,21.3,7.1,14.2,.497,1.3,3.1,.424,5.8,7.3,.788,1.1,4.4,5.6,3.7,2.0,0.1,3.4,2.2
7,Taje' Kelly,CHASO,29,36.5,20.8,7.6,15.1,.502,0.6,1.9,.333,5.0,8.1,.617,2.3,6.6,9.0,2.1,0.8,0.4,3.2,2.9
8,Terrence Brown,FDU,28,34.4,20.8,7.4,16.3,.455,1.2,3.9,.309,4.7,6.2,.753,1.2,4.5,5.7,3.1,2.0,0.4,3.0,2.3
9,Jacksen Moni,NDSU,27,30.3,20.6,7.0,13.9,.508,2.4,5.8,.408,4.2,5.0,.837,1.1,4.5,5.6,3.7,0.5,0.4,2.4,2.4
10,Markus Burton,ND,20,32.1,20.3,7.5,16.7,.447,1.9,5.1,.366,3.6,4.2,.855,0.3,3.2,3.4,3.0,1.6,0.1,2.6,2.4
11,Paul McMillan IV,CAN,27,36.1,20.2,7.1,16.0,.447,1.3,3.8,.333,4.7,6.0,.783,0.6,3.0,3.5,2.8,0.7,0.0,2.2,1.6
12,Tre Johnson,TEXAS,25,33.6,20.2,7.0,15.9,.442,2.5,6.7,.375,3.6,4.0,.881,0.4,2.8,3.2,2.5,0.9,0.3,1.8,2.0
13,"Dominique Daniels, Jr.",CALBU,25,35.0,20.0,6.9,18.0,.381,1.7,6.3,.274,4.6,5.6,.809,0.7,1.9,2.6,3.2,1.2,0.0,2.1,2.2
14,Jacob Ognacevic,LIP,29,32.9,20.0,7.0,12.1,.577,1.4,3.5,.392,4.6,6.0,.775,1.9,6.2,8.0,1.4,0.3,0.3,1.8,1.4
15,Barrington Hargress,UCR,29,31.8,20.0,7.3,17.0,.433,2.2,6.9,.325,3.0,4.2,.727,0.4,1.9,2.3,3.9,1.1,0.0,2.0,1.8
16,Budd Clark,MERRI,28,37.0,19.9,7.8,17.4,.447,0.5,2.0,.250,3.9,5.0,.780,1.3,3.2,4.5,5.8,2.5,0.1,3.2,2.6
17,Maxime Raynaud,STAN,27,33.7,19.9,7.3,15.9,.463,1.8,5.4,.327,3.4,4.4,.782,2.9,8.3,11.2,1.7,1.0,1.1,2.3,1.8
18,Primo Spears,UTSA,26,36.5,19.8,6.5,16.6,.394,2.0,5.7,.356,4.7,5.4,.872,0.3,1.6,1.9,3.8,1.7,0.1,2.8,1.8
19,"Abdi Bashir, Jr.",MONM,28,32.9,19.8,6.6,17.7,.373,3.6,9.6,.381,2.9,3.3,.891,0.2,2.3,2.5,2.2,0.5,0.1,2.9,1.3
20,Aniwaniwa Tait-Jones,UCSD,28,29.8,19.8,6.3,10.8,.585,0.5,1.4,.359,6.7,8.6,.773,1.3,4.0,5.3,3.4,1.2,0.4,2.0,2.0
21,Reed Bailey,DAV,27,32.7,19.7,6.7,13.3,.508,0.5,1.1,.467,5.7,7.4,.779,1.6,4.9,6.4,3.8,0.8,0.7,2.6,2.4
22,Nick Martinelli,NWU,27,37.6,19.7,7.5,16.0,.469,1.0,2.9,.359,3.7,5.3,.711,2.4,3.7,6.1,1.7,0.8,0.3,2.0,2.3
23,John Tonje,UWISC,27,30.9,19.7,5.7,11.7,.483,2.3,5.8,.397,6.1,6.7,.911,0.8,4.1,4.9,1.8,0.7,0.1,2.1,1.7
