#,Player,Team,GP,MPG,PPG,PPG_Grade,FGM,FGA,FG%,FG%_Grade,3PM,3PA,3P%,3P%_Grade,FTM,FTA,FT%,FT%_Grade,ORB,DRB,RPG,RPG_Grade,APG,APG_Grade,SPG,SPG_Grade,BPG,BPG_Grade,TOV,PF,OVR_Grade
1,Eric Dixon,VILL,21,34.2,24.2,99,8.2,17.0,0.48,94,3.2,7.1,0.453,94,4.6,5.5,0.843,83,1.8,3.5,5.3,72,2.1,69,0.9,78,0.3,65,2.1,1.9,82
2,"Jamal Mashburn, Jr.",TEM,22,36.0,22.1,99,7.3,16.8,0.436,89,2.1,4.7,0.442,93,5.4,6.8,0.787,77,0.6,2.4,3.0,66,2.0,69,0.7,74,0.0,60,1.8,1.4,79
3,P.J. Haggerty,MEMP,22,36.5,21.6,99,6.9,13.7,0.505,95,1.2,3.0,0.415,90,6.6,8.2,0.806,79,1.2,4.5,5.7,73,3.6,70,2.1,90,0.0,60,3.7,2.2,82
4,"Abdi Bashir, Jr.",MONM,23,33.6,21.6,99,7.2,18.5,0.39,87,4.0,9.9,0.399,88,3.2,3.5,0.914,90,0.2,2.3,2.5,65,2.2,69,0.5,70,0.0,60,2.7,1.3,79
5,Ty Johnson,UCD,22,32.7,21.2,99,7.0,18.4,0.38,86,0.9,3.8,0.229,71,6.3,8.0,0.79,78,1.1,3.7,4.8,71,2.4,69,2.5,94,0.1,62,4.0,2.4,79
6,Trenton McLaughlin,NAU,22,35.7,21.1,99,7.1,17.6,0.405,88,2.8,8.7,0.318,80,4.0,5.6,0.724,71,0.4,3.3,3.7,68,3.3,69,1.5,85,0.2,63,1.6,1.7,78
7,Terrence Brown,FDU,22,34.0,20.9,99,7.6,16.4,0.467,92,1.2,3.8,0.313,80,4.4,5.8,0.758,74,1.1,4.9,6.0,74,3.1,69,2.0,90,0.5,70,3.1,2.3,81
8,Primo Spears,UTSA,21,36.4,20.5,99,6.9,16.7,0.413,88,2.0,5.7,0.345,83,4.8,5.4,0.877,86,0.3,1.5,1.8,63,3.8,71,1.6,86,0.0,60,2.6,1.7,80
9,Maxime Raynaud,STAN,22,33.8,20.4,99,7.7,16.0,0.481,94,1.9,5.4,0.347,83,3.2,4.2,0.761,75,3.3,8.5,11.8,99,1.8,67,1.0,80,1.1,80,2.2,1.8,85
10,"Jaron Pierre, Jr.",JKSNV,22,36.2,20.3,99,7.1,16.6,0.426,89,2.3,6.1,0.378,86,3.8,4.7,0.798,78,0.7,4.5,5.1,71,4.2,73,0.6,72,0.3,65,2.8,1.5,80
11,Ace Bailey,RUTG,20,34.0,20.2,99,7.7,16.4,0.468,92,2.0,5.2,0.385,87,2.9,4.3,0.674,66,2.1,5.7,7.8,79,1.0,62,1.1,82,1.4,82,2.2,2.8,82
12,Paul McMillan IV,CAN,21,35.9,20.1,99,7.1,16.0,0.446,90,1.3,3.8,0.354,84,4.5,5.8,0.779,76,0.5,2.8,3.3,67,3.1,69,0.6,72,0.0,60,2.1,1.6,78
13,Dawson Garcia,MINN,22,34.5,20.1,99,6.9,13.4,0.512,95,1.5,4.0,0.382,87,4.9,6.5,0.754,74,1.4,5.8,7.1,77,2.1,69,0.8,76,1.1,80,1.6,2.3,83
14,"Dominique Daniels, Jr.",CALBU,21,35.2,20.1,99,6.8,17.8,0.383,86,1.8,6.5,0.27,76,4.7,5.8,0.811,80,0.6,1.8,2.4,65,3.1,69,1.0,80,0.0,60,2.1,2.2,77
15,Jalen Jackson,IPFW,24,31.4,20.1,99,7.0,13.7,0.512,95,1.2,3.4,0.346,83,4.9,6.4,0.766,75,0.7,3.5,4.3,69,3.4,69,1.9,89,0.4,67,1.9,1.7,81
16,Taje' Kelly,CHASO,23,36.0,20.0,99,7.3,14.5,0.503,95,0.6,1.5,0.371,86,4.8,7.9,0.604,60,2.4,6.7,9.1,91,2.1,69,0.8,76,0.4,67,3.0,2.9,81
17,Barrington Hargress,UCR,23,31.3,20.0,99,7.2,16.6,0.433,89,2.4,7.2,0.333,82,3.2,4.3,0.74,73,0.3,1.9,2.2,64,4.0,72,1.0,80,0.0,60,2.0,1.8,78
18,Cooper Flagg,DUKE,21,32.0,20.0,99,6.6,13.7,0.484,94,1.3,3.9,0.346,83,5.4,6.7,0.801,79,1.5,6.4,8.0,80,4.2,73,1.5,85,1.2,80,2.7,2.2,85
19,Reed Bailey,DAV,21,31.7,19.9,98,6.8,13.2,0.514,95,0.6,1.3,0.481,97,5.6,7.3,0.771,76,1.3,4.8,6.1,74,3.7,71,0.7,74,0.6,74,2.5,2.3,83
20,Jacksen Moni,NDSU,21,28.7,19.8,98,6.5,12.8,0.509,95,2.3,5.6,0.41,90,4.4,5.2,0.853,84,1.1,4.3,5.4,72,3.8,71,0.5,70,0.5,70,2.4,2.1,82
