#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Eric Dixon,VILL,21,34.2,24.2,8.2,17.0,.480,3.2,7.1,.453,4.6,5.5,.843,1.8,3.5,5.3,2.1,0.9,0.3,2.1,1.9
2,"Jamal Mashburn, Jr.",TEM,22,36.0,22.1,7.3,16.8,.436,2.1,4.7,.442,5.4,6.8,.787,0.6,2.4,3.0,2.0,0.7,0.0,1.8,1.4
3,P.J. Haggerty,MEMP,22,36.5,21.6,6.9,13.7,.505,1.2,3.0,.415,6.6,8.2,.806,1.2,4.5,5.7,3.6,2.1,0.0,3.7,2.2
4,"Abdi Bashir, Jr.",MONM,23,33.6,21.6,7.2,18.5,.390,4.0,9.9,.399,3.2,3.5,.914,0.2,2.3,2.5,2.2,0.5,0.0,2.7,1.3
5,Ty Johnson,UCD,22,32.7,21.2,7.0,18.4,.380,0.9,3.8,.229,6.3,8.0,.790,1.1,3.7,4.8,2.4,2.5,0.1,4.0,2.4
6,Trenton McLaughlin,NAU,22,35.7,21.1,7.1,17.6,.405,2.8,8.7,.318,4.0,5.6,.724,0.4,3.3,3.7,3.3,1.5,0.2,1.6,1.7
7,Terrence Brown,FDU,22,34.0,20.9,7.6,16.4,.467,1.2,3.8,.313,4.4,5.8,.758,1.1,4.9,6.0,3.1,2.0,0.5,3.1,2.3
8,Primo Spears,UTSA,21,36.4,20.5,6.9,16.7,.413,2.0,5.7,.345,4.8,5.4,.877,0.3,1.5,1.8,3.8,1.6,0.0,2.6,1.7
9,Maxime Raynaud,STAN,22,33.8,20.4,7.7,16.0,.481,1.9,5.4,.347,3.2,4.2,.761,3.3,8.5,11.8,1.8,1.0,1.1,2.2,1.8
10,"Jaron Pierre, Jr.",JKSNV,22,36.2,20.3,7.1,16.6,.426,2.3,6.1,.378,3.8,4.7,.798,0.7,4.5,5.1,4.2,0.6,0.3,2.8,1.5
11,Ace Bailey,RUTG,20,34.0,20.2,7.7,16.4,.468,2.0,5.2,.385,2.9,4.3,.674,2.1,5.7,7.8,1.0,1.1,1.4,2.2,2.8
12,Paul McMillan IV,CAN,21,35.9,20.1,7.1,16.0,.446,1.3,3.8,.354,4.5,5.8,.779,0.5,2.8,3.3,3.1,0.6,0.0,2.1,1.6
13,Dawson Garcia,MINN,22,34.5,20.1,6.9,13.4,.512,1.5,4.0,.382,4.9,6.5,.754,1.4,5.8,7.1,2.1,0.8,1.1,1.6,2.3
14,"Dominique Daniels, Jr.",CALBU,21,35.2,20.1,6.8,17.8,.383,1.8,6.5,.270,4.7,5.8,.811,0.6,1.8,2.4,3.1,1.0,0.0,2.1,2.2
15,Jalen Jackson,IPFW,24,31.4,20.1,7.0,13.7,.512,1.2,3.4,.346,4.9,6.4,.766,0.7,3.5,4.3,3.4,1.9,0.4,1.9,1.7
16,Taje' Kelly,CHASO,23,36.0,20.0,7.3,14.5,.503,0.6,1.5,.371,4.8,7.9,.604,2.4,6.7,9.1,2.1,0.8,0.4,3.0,2.9
17,Barrington Hargress,UCR,23,31.3,20.0,7.2,16.6,.433,2.4,7.2,.333,3.2,4.3,.740,0.3,1.9,2.2,4.0,1.0,0.0,2.0,1.8
18,Cooper Flagg,DUKE,21,32.0,20.0,6.6,13.7,.484,1.3,3.9,.346,5.4,6.7,.801,1.5,6.4,8.0,4.2,1.5,1.2,2.7,2.2
